  c             	[2023-02-04 10:02:56]	[SUCCESS]	[ACC]	pgaming	[ROLE]	ThóyYªn	[C]	1	[COUNT]	1	[BUY]	[6-1-2339-90]S¸t Thñ Gi¶n lÔ hép	[PLACE]	142
  c             	[2023-02-04 10:37:15]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	4	[COUNT]	1	[BUY]	[4-979-1-1]Kim Tª	[PLACE]	141
  c             	[2023-02-04 10:37:15]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	4	[COUNT]	1	[BUY]	[4-979-1-1]Kim Tª	[PLACE]	141
  c             	[2023-02-04 10:37:16]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	4	[COUNT]	1	[BUY]	[4-979-1-1]Kim Tª	[PLACE]	141
  c             	[2023-02-04 10:37:16]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	4	[COUNT]	1	[BUY]	[4-979-1-1]Kim Tª	[PLACE]	141
  c             	[2023-02-04 10:37:16]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	4	[COUNT]	1	[BUY]	[4-979-1-1]Kim Tª	[PLACE]	141
  c             	[2023-02-04 10:37:16]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	4	[COUNT]	1	[BUY]	[4-979-1-1]Kim Tª	[PLACE]	141
  c             	[2023-02-04 10:37:19]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 10:37:19]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 10:37:20]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 10:37:20]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 10:37:20]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
  c             	[2023-02-04 10:37:20]	[SUCCESS]	[ACC]	pgaming3	[ROLE]	HoµngKimKûNiÖm	[C]	5	[COUNT]	1	[BUY]	[6-1-398-1]ThÇn bÝ kho¸ng th¹ch	[PLACE]	141
