ExecuteCode /script/global/lbadmin.lua 
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcKeyData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcKeyData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcKeyData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcKeyData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcKeyData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcKeyData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/npclevelscript/npclevelscript.lua GetNpcLevelData
CallFun /script/skill/partner/fire/炎龙之咆.lua GetSkillLevelData
CallFun /script/skill/partner/fire/炎龙之咆.lua GetSkillLevelData
CallFun /script/skill/partner/fire/炎龙之咆.lua GetSkillLevelData
CallFun /script/skill/partner/fire/炎龙之咆.lua GetSkillLevelData
CallFun /script/skill/partner/fire/炎龙之咆.lua GetSkillLevelData
CallFun /script/skill/partner/fire/炎龙之咆.lua GetSkillLevelData
CallFun /script/skill/partner/fire/炎龙之咆.lua GetSkillLevelData
CallFun /script/skill/partner/fire/炎龙之咆.lua GetSkillLevelData
CallFun /script/skill/partner/fire/炎龙之咆.lua GetSkillLevelData
CallFun /script/activitysys/ambience.lua OnTimer
CallFun /script/missions/fengling_ferry/fldmap_boat1.lua main
