[2023-01-21 09:15:37	] pgaming2(ThienVuongBang) BUY 1 [6-1-1427-1]Tö MÉu LÖnh(6,1,1427,0,1) 3(COIN) at Shop[142]
[2023-01-21 09:16:13	] pgaming2(ThienVuongBang) SEL 1 Siªu Quang(0,10,13,5,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:16:14	] pgaming2(ThienVuongBang) SEL 1 Ng©n Gi¸p HuyÒn TrÖ(0,10,37,5,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:16:14	] pgaming2(ThienVuongBang) SEL 1 MÆc Vò Tiªn L­(0,10,34,5,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:16:14	] pgaming2(ThienVuongBang) SEL 1 Kinh L«i(0,10,34,5,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:16:15	] pgaming2(ThienVuongBang) SEL 1 S­ tö(0,10,22,5,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:16:15	] pgaming2(ThienVuongBang) SEL 1 TuyÕt Vùc ChiÕn Lang(0,10,36,5,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:26:07	] pgaming2(ThienVuongBang) SEL 1 Long T­¬ng Chi L©n Yªu §¸i(0,6,0,1,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:26:07	] pgaming2(ThienVuongBang) SEL 1 Long T­¬ng Chi L©n Gi¸p Y(0,2,1,3,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:26:07	] pgaming2(ThienVuongBang) SEL 1 Long T­¬ng Chi L©n Hµi(0,5,0,0,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:26:08	] pgaming2(ThienVuongBang) SEL 1 Long T­¬ng Chi L©n Kh«i(0,7,1,4,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:26:08	] pgaming2(ThienVuongBang) SEL 1 Long T­¬ng Chi L©n H¹ng Liªn(0,4,1,3,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:26:08	] pgaming2(ThienVuongBang) SEL 1 Long T­¬ng Chi L©n Béi(0,9,1,2,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:26:09	] pgaming2(ThienVuongBang) SEL 1 Long T­¬ng Chi L©n Th­îng Giíi(0,3,0,0,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:26:09	] pgaming2(ThienVuongBang) SEL 1 Long T­¬ng Chi L©n Hé UYÓn(0,8,1,2,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:26:10	] pgaming2(ThienVuongBang) SEL 1 Long T­¬ng Chi L©n H¹ Giíi(0,3,0,1,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:26:53	] pgaming2(ThienVuongBang) SEL 1 H¾c ThÇn ChÝ T«n §íi(0,6,0,4,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:26:53	] pgaming2(ThienVuongBang) SEL 1 H¾c ThÇn ChÝ T«n Ly(0,5,0,1,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:26:54	] pgaming2(ThienVuongBang) SEL 1 H¾c ThÇn ChÝ T«n UyÓn(0,8,0,3,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:26:54	] pgaming2(ThienVuongBang) SEL 1 H¾c ThÇn ChÝ T«n Bµo(0,2,0,0,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:26:55	] pgaming2(ThienVuongBang) SEL 1 H¾c ThÇn ChÝ T«n Kh«i(0,7,0,2,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:28:04	] pgaming2(ThienVuongBang) SEL 1 Cè S¬n Chi Ph¸ NguyÖt C¶nh Liªn(0,4,1,0,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:28:04	] pgaming2(ThienVuongBang) SEL 1 Cè S¬n Chi Ph¸ NguyÖt C¶nh Liªn(0,4,1,0,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:28:04	] pgaming2(ThienVuongBang) SEL 1 Cè S¬n Chi Ph¸ NguyÖt Hé UyÓn(0,8,1,3,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:28:05	] pgaming2(ThienVuongBang) SEL 1 Huynh §Ö §ång T©m Chi Liªn(0,4,1,0,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:28:05	] pgaming2(ThienVuongBang) SEL 1 Cè S¬n Chi Ph¸ NguyÖt C¶nh Liªn(0,4,1,0,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:28:06	] pgaming2(ThienVuongBang) SEL 1 Cè S¬n Chi Ph¸ NguyÖt C¶nh Liªn(0,4,1,0,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:28:06	] pgaming2(ThienVuongBang) SEL 1 Cè S¬n Chi Ph¸ NguyÖt Hé UyÓn(0,8,1,3,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:28:07	] pgaming2(ThienVuongBang) SEL 1 Cè S¬n Chi Ph¸ NguyÖt Hé UyÓn(0,8,1,3,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:28:07	] pgaming2(ThienVuongBang) SEL 1 Cè S¬n Chi Ph¸ NguyÖt Hé UyÓn(0,8,1,3,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:28:07	] pgaming2(ThienVuongBang) SEL 1 Vò LiÖt Chi B¾c ThÇn Kh«i(0,7,0,2,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:28:07	] pgaming2(ThienVuongBang) SEL 1 Vò LiÖt Chi TËp Hoµng Gi¸p(0,2,0,0,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:28:08	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Ngäc Cµn Kh«n Béi(0,9,1,4,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:28:08	] pgaming2(ThienVuongBang) SEL 1 Cè S¬n Chi Ph¸ NguyÖt Hé UyÓn(0,8,1,3,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:28:08	] pgaming2(ThienVuongBang) SEL 1 Huynh §Ö Song Hµnh Ngäc Béi(0,9,1,4,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:28:09	] pgaming2(ThienVuongBang) SEL 1 Cè S¬n Chi Ph¸ NguyÖt C¶nh Liªn(0,4,1,0,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:28:09	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t PhØ Thóy Ngäc H¹ng Khuyªn(0,4,1,2,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:28:09	] pgaming2(ThienVuongBang) SEL 1 Vò LiÖt Chi Khung Long Ngoa(0,5,0,1,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:28:10	] pgaming2(ThienVuongBang) SEL 1 Vò LiÖt Chi V« TËn Béi(0,9,1,3,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:28:10	] pgaming2(ThienVuongBang) SEL 1 Vò LiÖt Chi Tinh D· Yªu §¸i(0,6,0,4,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:29:57	] pgaming2(ThienVuongBang) SEL 1 Th­¬ng Khung Thiªn Khëi L÷(0,5,0,1,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:29:57	] pgaming2(ThienVuongBang) SEL 1 Th­¬ng Khung Thiªn Khëi §¸i(0,6,0,4,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:29:57	] pgaming2(ThienVuongBang) SEL 1 Th­¬ng Khung Thiªn Khëi Gi¸p(0,2,0,0,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:29:58	] pgaming2(ThienVuongBang) SEL 1 Th­¬ng Khung Thiªn Khëi Kh«i(0,7,0,2,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:29:58	] pgaming2(ThienVuongBang) SEL 1 §éc C« CÇu B¹i H¹ Giíi(0,3,0,1,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:29:59	] pgaming2(ThienVuongBang) SEL 1 §éc C« CÇu B¹i Th­îng Giíi(0,3,0,0,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:29:59	] pgaming2(ThienVuongBang) SEL 1 Th­¬ng Khung Thiªn Khëi Tô(0,8,0,3,10) 24999(MONEY) at Shop[38]
[2023-01-21 09:31:14	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t PhØ Thóy Ngäc H¹ng Khuyªn(0,4,1,2,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:15	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t PhØ Thóy Ngäc H¹ng Khuyªn(0,4,1,2,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:15	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Kim Tó Phông Giíi(0,3,0,0,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:15	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Ngäc Cµn Kh«n Béi(0,9,1,4,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:15	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Ngäc Cµn Kh«n Béi(0,9,1,4,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:16	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Kim §iªu Long Giíi(0,3,0,3,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:16	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Ngäc Cµn Kh«n Béi(0,9,1,4,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:16	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Kim Tó Phông Giíi(0,3,0,0,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:16	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Kim §iªu Long Giíi(0,3,0,3,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:17	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Kim Tó Phông Giíi(0,3,0,0,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:17	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t PhØ Thóy Ngäc H¹ng Khuyªn(0,4,1,2,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:17	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t PhØ Thóy Ngäc H¹ng Khuyªn(0,4,1,2,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:18	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Kim §iªu Long Giíi(0,3,0,3,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:18	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Kim Tó Phông Giíi(0,3,0,0,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:18	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Kim Tó Phông Giíi(0,3,0,0,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:19	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Kim §iªu Long Giíi(0,3,0,3,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:19	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Ngäc Cµn Kh«n Béi(0,9,1,4,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:19	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Kim §iªu Long Giíi(0,3,0,3,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:48	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Ngäc Cµn Kh«n Béi(0,9,1,4,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:49	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Kim §iªu Long Giíi(0,3,0,3,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:49	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t PhØ Thóy Ngäc H¹ng Khuyªn(0,4,1,2,10) 12499(MONEY) at Shop[38]
