[Normal]Item: ËâÍ·´¸(0,0,0,4,0,1), unbind = 0, bind = 0
[Normal]Item: Ng©n Gi¸p HuyÒn TrÖ(0,1,6263,37,5,10), unbind = 0, bind = 50000
[Normal]Item: Â¥À¼°×Ê¨(0,1,4479,22,5,10), unbind = 0, bind = 30000
[Normal]Item: Siªu Quang(0,1,4365,13,5,10), unbind = 0, bind = 30000
[Normal]Item: º¹ÑªÁú¾Ô(0,1,3878,18,5,10), unbind = 0, bind = 10000
[Normal]Item: Kinh L?i(0,1,5932,34,5,10), unbind = 0, bind = 50000
[Normal]Item: MÆc Vò Tiªn L­(0,1,6262,34,5,10), unbind = 0, bind = 50000
[Normal]Item: TuyÕt Vùc ChiÕn Lang(0,1,6261,36,5,10), unbind = 0, bind = 50000
[Normal]Item: º¹ÑªÁú¾Ô(0,1,3878,18,5,10), unbind = 0, bind = 10000
[Normal]Item: º¹ÑªÁú¾Ô(0,1,3878,18,5,10), unbind = 0, bind = 10000
[Normal]Item: º¹ÑªÁú¾Ô(0,1,3878,18,5,10), unbind = 0, bind = 10000
[Normal]Item: ÁèÔÆÖ®×³Ö¾¿ø(0,1,5202,0,2,10), unbind = 0, bind = 30000
[Normal]Item: ÁèÔÆÖ®×³Ö¾¼×(0,1,5203,0,0,10), unbind = 0, bind = 30000
[Normal]Item: ÁèÔÆÖ®×³Ö¾ÂÄ(0,1,5204,0,1,10), unbind = 0, bind = 30000
[Normal]Item: ÁèÔÆÖ®×³Ö¾?ä(0,1,5205,0,3,10), unbind = 0, bind = 30000
[Normal]Item: ÁèÔÆÖ®×³Ö¾´ø(0,1,5206,0,4,10), unbind = 0, bind = 30000
[Normal]Item: Long T­¬ng Chi L©n H¹ng Liªn(0,1,5218,1,3,10), unbind = 0, bind = 10000
[Normal]Item: Long T­¬ng Chi L©n Kh«i(0,1,5219,1,4,10), unbind = 0, bind = 10000
[Normal]Item: Long T­¬ng Chi L©n Th­îng Giíi(0,1,5220,0,0,10), unbind = 0, bind = 10000
[Normal]Item: Long T­¬ng Chi L©n Hé UYÓn(0,1,5221,1,2,10), unbind = 0, bind = 10000
[Normal]Item: Long T­¬ng Chi L©n Yªu §¸i(0,1,5222,0,1,10), unbind = 0, bind = 10000
[Normal]Item: Long T­¬ng Chi L©n Gi¸p Y(0,1,5223,1,3,10), unbind = 0, bind = 10000
[Normal]Item: Long T­¬ng Chi L©n Hµi(0,1,5224,0,0,10), unbind = 0, bind = 10000
[Normal]Item: Long T­¬ng Chi L©n Béi(0,1,5225,1,2,10), unbind = 0, bind = 10000
[Normal]Item: Long T­¬ng Chi L©n H¹ Giíi(0,1,5226,0,1,10), unbind = 0, bind = 10000
[Normal]Item: H¾c thÇn- M·nh Uy- Kh«i(0,1,4837,0,2,10), unbind = 0, bind = 30000
[Normal]Item: H¾c thÇn- M·nh Uy- §¹o Bµo(0,1,4838,0,0,10), unbind = 0, bind = 30000
[Normal]Item: H¾c thÇn- M·nh Uy- L?(0,1,4839,0,1,10), unbind = 0, bind = 30000
[Normal]Item: H¾c thÇn- M·nh Uy- Hé UyÓn(0,1,4840,0,3,10), unbind = 0, bind = 30000
[Normal]Item: H¾c thÇn- M·nh Uy- Yªu §¸i(0,1,4841,0,4,10), unbind = 0, bind = 30000
[Normal]Item: V? LiÖt Chi B¾c ThÇn Kh«i(0,1,5207,0,2,10), unbind = 0, bind = 10000
[Normal]Item: V? LiÖt Chi TËp Hoµng Gi¸p(0,1,5208,0,0,10), unbind = 0, bind = 10000
[Normal]Item: V? LiÖt Chi Khung Long Ngoa(0,1,5209,0,1,10), unbind = 0, bind = 10000
[Normal]Item: V? LiÖt Chi V« TËn Béi(0,1,5210,1,3,10), unbind = 0, bind = 10000
[Normal]Item: V? LiÖt Chi Tinh D· Yªu §¸i(0,1,5211,0,4,10), unbind = 0, bind = 10000
