[Normal]Item: ?ä¼?(0,0,1,2,0,1), unbind = 0, bind = 0
[Normal]Item: ×êÊ¯½äÖ¸(0,0,3,0,3,10), unbind = 0, bind = 0
[Normal]Item: ×êÊ¯½äÖ¸(0,0,3,0,3,10), unbind = 0, bind = 0
[Normal]Item: ×êÊ¯½äÖ¸(0,0,3,0,3,10), unbind = 0, bind = 0
[Normal]Item: ×êÊ¯½äÖ¸(0,0,3,0,3,10), unbind = 0, bind = 0
[Normal]Item: ×êÊ¯½äÖ¸(0,0,3,0,3,10), unbind = 0, bind = 0
[Normal]Item: ×êÊ¯½äÖ¸(0,0,3,0,3,10), unbind = 0, bind = 0
[Normal]Item: ×êÊ¯½äÖ¸(0,0,3,0,3,10), unbind = 0, bind = 0
[Normal]Item: ×êÊ¯½äÖ¸(0,0,3,0,3,10), unbind = 0, bind = 0
[Normal]Item: ×êÊ¯½äÖ¸(0,0,3,0,3,10), unbind = 0, bind = 0
[Normal]Item: ×êÊ¯½äÖ¸(0,0,3,0,3,10), unbind = 0, bind = 0
[Normal]Item: ×êÊ¯½äÖ¸(0,0,3,0,3,10), unbind = 0, bind = 0
[Normal]Item: µÄÂ¬(0,0,10,5,0,9), unbind = 0, bind = 100
[Normal]Item: ¾øÓ°(0,0,10,5,0,8), unbind = 0, bind = 100
[Normal]Item: ÎÚÔÆ?¤Ñ©(0,0,10,5,0,6), unbind = 0, bind = 100
[Enchasable]Item: (0,2,0,1,0,10), unbind = 0, bind = 0
[Enchasable]Item: (0,2,0,0,0,10), unbind = 0, bind = 0
[Enchasable]Item: (0,2,0,0,1,10), unbind = 0, bind = 0
[Enchasable]Item: (0,2,0,0,2,10), unbind = 0, bind = 0
[Enchasable]Item: (0,2,0,0,3,10), unbind = 0, bind = 0
[Enchasable]Item: (0,2,0,0,4,10), unbind = 0, bind = 0
[Enchasable]Item: (0,2,0,5,0,10), unbind = 0, bind = 0
[Enchasable]Item: (0,2,0,5,1,10), unbind = 0, bind = 0
[Enchasable]Item: (0,2,0,5,2,10), unbind = 0, bind = 0
[Enchasable]Item: (0,2,0,5,3,10), unbind = 0, bind = 0
[Enchasable]Item: (0,2,0,5,4,10), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,3,10), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,3,10), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,3,10), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,3,10), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,3,10), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,3,10), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,3,10), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,3,10), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,3,10), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,3,10), unbind = 0, bind = 0
