[Normal]Item: ×êÊ¯½äÖ¸(0,0,3,0,2,10), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,4,7), unbind = 0, bind = 0
[Enchasable]Item: (0,2,6,1,0,5), unbind = 0, bind = 0
[Enchasable]Item: (0,2,0,5,3,10),¼ÓÉúÃü×î´óÖµÉÏÏŞ=(200,0),¼Ó»ğÏµ¼¼ÄÜÉËº¦=(200,0),¼ÓÄÚÁ¦ÉÏÏŞ=(200,0),½µµÍ±ù¶³Ê±¼ä=(40,0),¼ÓÌåÁ¦ÉÏÏŞ=(200,0), unbind = 0, bind = 0
[Normal]Item: µÄÂ¬(0,0,10,5,0,9), unbind = 0, bind = 100
[Enchasable]Item: (0,2,0,0,2,10),¼Ó¹¥»÷ËÙ¶È=(30,0),¼Ó±ùÉËº¦=(100,0),¼ÓÉËº¦Ç¿»¯=(100,0),¼Ó¿¹»ğĞÔ=(25,0),¼ÓÉúÃü×î´óÖµÉÏÏŞ=(200,0),ÃâÒßÑ£ÔÎ×´Ì¬=(40,0), unbind = 0, bind = 0
[Normal]Item: ÁèÔÆÖ®×³Ö¾¿ø(0,1,5202,0,2,10), unbind = 0, bind = 30000
[Normal]Item: ÁèÔÆÖ®×³Ö¾¼×(0,1,5203,0,0,10), unbind = 0, bind = 30000
[Normal]Item: ÁèÔÆÖ®×³Ö¾ÂÄ(0,1,5204,0,1,10), unbind = 0, bind = 30000
[Normal]Item: ÁèÔÆÖ®×³Ö¾?ä(0,1,5205,0,3,10), unbind = 0, bind = 30000
[Normal]Item: ÁèÔÆÖ®×³Ö¾´ø(0,1,5206,0,4,10), unbind = 0, bind = 30000
[Normal]Item: DiÖu D­¬ng Minh ¶o HuyÕt NhËn(0,1,6077,1,2,10), unbind = 0, bind = 50000
[Normal]Item: ???¹ÓñÊ¨×Ó(0,0,10,5,0,10), unbind = 0, bind = 100
[Normal]Item: °ÔÍ?ïÚ(0,0,1,0,2,10), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,2,10), unbind = 0, bind = 0
